source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LYu3yt8xbT7W3aTpceTP1z7peZkqiwy7W,60236862
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,124oYsrHcVUaouDoggq6Znoi6eVhAFxT78,57353940
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1PXB7yrxjxBP99VLtuTvwqZNogqM5mWLvY,60480536
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LQPRG1y9etFQbiWHELNPnQpaWAw6FFz2d,61341670
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,12UtZMvnTBs5s6hFA9RCXv72mWn9Si6jRn,60786992
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1C5jZun1enE17TUym75M1uEhRCKoDeCcAy,40000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LYu3yt8xbT7W3aTpceTP1z7peZkqiwy7W,60236862
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,124oYsrHcVUaouDoggq6Znoi6eVhAFxT78,57353940
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1PXB7yrxjxBP99VLtuTvwqZNogqM5mWLvY,60480536
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LQPRG1y9etFQbiWHELNPnQpaWAw6FFz2d,61341670
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,12UtZMvnTBs5s6hFA9RCXv72mWn9Si6jRn,60786992
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1C5jZun1enE17TUym75M1uEhRCKoDeCcAy,40000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LYu3yt8xbT7W3aTpceTP1z7peZkqiwy7W,60236862
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,124oYsrHcVUaouDoggq6Znoi6eVhAFxT78,57353940
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1PXB7yrxjxBP99VLtuTvwqZNogqM5mWLvY,60480536
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LQPRG1y9etFQbiWHELNPnQpaWAw6FFz2d,61341670
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,12UtZMvnTBs5s6hFA9RCXv72mWn9Si6jRn,60786992
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1C5jZun1enE17TUym75M1uEhRCKoDeCcAy,40000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LYu3yt8xbT7W3aTpceTP1z7peZkqiwy7W,60236862
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,124oYsrHcVUaouDoggq6Znoi6eVhAFxT78,57353940
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1PXB7yrxjxBP99VLtuTvwqZNogqM5mWLvY,60480536
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LQPRG1y9etFQbiWHELNPnQpaWAw6FFz2d,61341670
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,12UtZMvnTBs5s6hFA9RCXv72mWn9Si6jRn,60786992
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1C5jZun1enE17TUym75M1uEhRCKoDeCcAy,40000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LYu3yt8xbT7W3aTpceTP1z7peZkqiwy7W,60236862
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,124oYsrHcVUaouDoggq6Znoi6eVhAFxT78,57353940
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1PXB7yrxjxBP99VLtuTvwqZNogqM5mWLvY,60480536
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LQPRG1y9etFQbiWHELNPnQpaWAw6FFz2d,61341670
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,12UtZMvnTBs5s6hFA9RCXv72mWn9Si6jRn,60786992
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1C5jZun1enE17TUym75M1uEhRCKoDeCcAy,40000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LYu3yt8xbT7W3aTpceTP1z7peZkqiwy7W,60236862
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,124oYsrHcVUaouDoggq6Znoi6eVhAFxT78,57353940
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1PXB7yrxjxBP99VLtuTvwqZNogqM5mWLvY,60480536
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LQPRG1y9etFQbiWHELNPnQpaWAw6FFz2d,61341670
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,12UtZMvnTBs5s6hFA9RCXv72mWn9Si6jRn,60786992
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1C5jZun1enE17TUym75M1uEhRCKoDeCcAy,40000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1970000
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000source,target,value
1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,144240909
